City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
252,Ribeira Grande,78,PT,2020-01-28 23:18:29,94,38.52,-28.7,60.12,19.71
253,Bow Island,5,CA,2020-01-28 23:18:29,92,49.87,-111.37,30.2,2.24
254,Sao Joao da Barra,100,BR,2020-01-28 23:18:29,92,-21.64,-41.05,75.63,11.72
255,Westport,75,US,2020-01-28 23:14:03,59,41.14,-73.36,37.99,8.05
256,Bonnyville,90,CA,2020-01-28 23:18:30,92,54.27,-110.73,17.6,2.24
257,Qaqortoq,0,GL,2020-01-28 23:18:30,72,60.72,-46.03,12.2,3.58
258,Ugoofaaru,0,MV,2020-01-28 23:18:30,68,5.67,73.0,81.41,10.98
259,San Quintin,0,MX,2020-01-28 23:07:23,77,30.48,-115.95,59.86,10.54
260,Kawalu,76,ID,2020-01-28 23:18:30,62,-7.38,108.21,84.79,3.13
261,Kilemary,100,RU,2020-01-28 23:18:30,94,56.78,46.87,10.42,11.41
262,Kralendijk,0,BQ,2020-01-28 23:15:04,83,12.15,-68.27,78.8,6.93
263,Kasangulu,75,CD,2020-01-28 23:18:30,94,-4.59,15.17,75.2,6.93
264,Churapcha,0,RU,2020-01-28 23:18:30,95,62.0,132.43,-23.96,4.99
265,Shaunavon,79,CA,2020-01-28 23:18:31,78,49.65,-108.42,21.13,6.15
266,Beringovskiy,96,RU,2020-01-28 23:08:41,95,63.05,179.32,0.23,3.24
267,Zamora,27,EC,2020-01-28 23:18:31,96,-4.07,-78.96,55.96,4.41
268,Fallon,20,US,2020-01-28 23:18:31,41,39.47,-118.78,42.8,5.82
269,Lashio,0,MM,2020-01-28 23:18:31,43,22.93,97.75,64.67,0.81
270,Lajas,98,PR,2020-01-28 23:18:31,92,18.05,-67.06,75.99,2.21
271,Samarai,23,PG,2020-01-28 23:18:31,57,-10.62,150.67,89.78,7.02
272,OErnskoeldsvik,100,SE,2020-01-28 23:18:31,100,63.29,18.72,30.2,11.41
273,Mehamn,42,NO,2020-01-28 23:09:04,75,71.04,27.85,16.7,19.71
274,Naze,75,JP,2020-01-28 23:18:32,55,28.37,129.48,64.4,12.75
275,Kabanjahe,75,ID,2020-01-28 23:18:32,94,3.1,98.49,77.0,3.36
276,Nyurba,100,RU,2020-01-28 23:18:32,89,63.28,118.33,4.96,5.86
277,Karpogory,97,RU,2020-01-28 23:18:32,90,64.0,44.45,0.57,5.77
278,Okhotsk,0,RU,2020-01-28 23:09:14,70,59.38,143.3,-5.03,13.33
279,Port Hedland,83,AU,2020-01-28 23:18:32,59,-20.32,118.57,95.0,16.11
280,Bariloche,20,AR,2020-01-28 23:18:02,49,-41.15,-71.31,46.4,9.17
281,San Buenaventura,0,MX,2020-01-28 23:18:32,23,27.08,-101.53,61.75,9.28
282,Buraidah,100,SA,2020-01-28 23:15:01,36,26.33,43.98,48.2,6.93
283,Dongsheng,64,CN,2020-01-28 23:18:33,74,39.82,109.98,22.21,9.31
284,Tortoli,20,IT,2020-01-28 23:18:33,58,39.93,9.66,55.4,12.75
285,Sitka,90,US,2020-01-28 23:18:33,80,57.05,-135.33,39.2,17.22
286,Hun,0,LY,2020-01-28 23:18:33,52,29.13,15.95,53.35,6.42
287,Tsimmerbude,75,RU,2020-01-28 23:18:33,86,54.67,20.13,39.2,13.42
288,Maniitsoq,98,GL,2020-01-28 23:18:33,62,65.42,-52.9,7.65,6.15
289,Maragogi,44,BR,2020-01-28 23:18:33,72,-9.01,-35.22,80.98,11.61
290,Hualmay,100,PE,2020-01-28 23:18:33,80,-11.1,-77.61,71.01,3.65
291,Karratha,87,AU,2020-01-28 23:18:34,75,-20.74,116.85,85.69,10.18
292,Bengkulu,100,ID,2020-01-28 23:18:34,94,-3.8,102.27,72.45,13.62
293,Kilcormac,5,IE,2020-01-28 23:18:34,90,53.17,-7.73,39.0,7.0
294,Constitucion,10,CL,2020-01-28 23:18:34,81,-35.33,-72.42,53.24,7.31
295,Xilitla,51,MX,2020-01-28 23:18:34,93,21.33,-98.97,64.45,2.51
296,Ouagadougou,100,BF,2020-01-28 23:17:32,19,12.36,-1.54,71.6,4.7
297,Villa Carlos Paz,0,AR,2020-01-28 23:18:34,82,-31.42,-64.5,77.0,6.93
298,Celestun,0,MX,2020-01-28 23:18:34,85,20.87,-90.4,75.4,14.18
299,Teguise,73,ES,2020-01-28 23:18:34,59,29.06,-13.56,62.6,8.05
300,Arari,100,BR,2020-01-28 23:18:34,98,-3.45,-44.78,74.95,2.89
301,Waspan,0,NI,2020-01-28 23:18:35,95,14.74,-83.97,69.69,4.25
302,Tezu,0,IN,2020-01-28 23:18:35,39,27.92,96.17,61.2,2.93
303,Ancud,0,CL,2020-01-28 23:18:35,75,-41.87,-73.82,46.4,5.82
304,Ixtapa,40,MX,2020-01-28 23:13:51,73,20.7,-105.2,73.4,1.16
305,Caconda,100,AO,2020-01-28 23:18:35,93,-13.73,15.07,60.48,0.94
306,Nizhniy Kuranakh,0,RU,2020-01-28 23:18:35,83,58.84,125.49,3.69,1.79
307,Harper,61,LR,2020-01-28 23:18:35,91,4.38,-7.72,76.32,1.25
308,Mungwi,100,ZM,2020-01-28 23:18:35,98,-10.17,31.37,62.92,4.34
309,Faanui,81,PF,2020-01-28 23:18:35,70,-16.48,-151.75,83.43,5.01
310,Darhan,0,MN,2020-01-28 23:18:36,84,49.49,105.92,4.71,8.23
311,Avera,1,US,2020-01-28 23:18:36,93,33.19,-82.53,46.0,2.62
312,Vizinga,100,RU,2020-01-28 23:18:36,95,61.07,50.1,-7.51,5.01
313,Omaruru,0,NA,2020-01-28 23:14:50,33,-21.43,15.93,70.75,6.17
314,Vestmannaeyjar,0,IS,2020-01-28 23:18:36,66,63.44,-20.27,34.66,7.29
315,Sekoma,0,BW,2020-01-28 23:18:36,54,-24.4,23.88,69.69,11.88
